순서,구분,콘텐츠 아이디(CID),제목,카테고리,주소,전화번호,홈페이지,정보제공,등록일,수정일,상세 URL,중분류
1,관광정보,05G65A,천지연폭포 (제주도 국가지질공원),자연관광 > 자연경관(산) > 폭포,제주특별자치도 서귀포시 천지동,064-710-3945,http://www.jeju.go.kr/geopark/index.htm,서귀포시 관광지관리사업소,2003.09.08,2023.04.04,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=05G65A&defaultCid=05G65A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
2,관광정보,0JRjeA,강화 원도심 스토리워크,체험관광 > 기타체험 > 기타체험관광,인천광역시 강화군 강화읍 관청길27번길 10,강화군청 문화관광과 032-930-3125,https://www.ganghwa.go.kr,,2020.11.23,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=0JRjeA&defaultCid=0JRjeA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
3,관광정보,1VdKhA,청풍호반케이블카,체험관광 > 기타체험 > 기타체험관광,충청북도 제천시 청풍면 문화재길 166,043-643-7301,http://www.cheongpungcablecar.com/,청풍호반 케이블카 홍보기획팀 팀장 김성원님,2019.06.13,2023.08.28,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=1VdKhA&defaultCid=1VdKhA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
4,관광정보,1zNgxA,[제주올레 18-1코스] 추자도 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 추자면 추자로 39,064-762-2190 070-4060-0685,http://www.jejuolle.org,사단법인 제주올레,2013.09.10,2023.04.04,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=1zNgxA&defaultCid=1zNgxA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
5,관광정보,23PWHA,태화강 국가정원,자연관광 > 자연공원 > 수목원ㆍ정원,울산광역시 중구 태화강국가정원길 154,052-229-7562,https://www.ulsan.go.kr/s/garden/main.ulsan,울산시청,2004.10.14,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=23PWHA&defaultCid=23PWHA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
6,관광정보,2ANNxA,다대포 꿈의 낙조분수,문화관광 > 랜드마크관광 > 분수,부산광역시 사하구 몰운대1길 14,051-220-5897,부산 사하구 문화관광 http://www.saha.go.kr/tour/main.do,부산 사하구청,2009.07.23,2023.05.12,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=2ANNxA&defaultCid=2ANNxA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
7,관광정보,2y31kA,주문진해변,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,강원특별자치도 강릉시 주문진읍 주문북로 210,033-640-5422,https://www.gn.go.kr/tour/index.do http://jumunjin-beach.co.kr,강원도청 l 강원도관광재단 (https://dangdangmap.net/pet),2004.02.27,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=2y31kA&defaultCid=2y31kA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
8,관광정보,30RRmA,울주 대곡리 반구대 암각화,역사관광 > 역사유적지 > 선사유적지,울산광역시 울주군 언양읍 반구대안길 285,울주군 문화체육과 052-204-0322 울산종합관광안내소 052-277-0101 울산암각화박물관 052-229-4797,울산관광 https://tour.ulju.ulsan.kr/,울산광역시청,2004.10.12,2023.06.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=30RRmA&defaultCid=30RRmA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
9,관광정보,3AMX8A,병산서원 [유네스코 세계문화유산],역사관광 > 역사유적지 > 사당,경상북도 안동시 풍천면 병산길 386,054-858-5929 054-853-0109,http://www.byeongsan.net,경북 안동시청,2003.12.04,2023.06.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=3AMX8A&defaultCid=3AMX8A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
10,관광정보,3QFR9A,공주 공산성 [유네스코 세계유산],역사관광 > 역사유적지 > 성ㆍ산성ㆍ성곽,충청남도 공주시 웅진로 280,041-856-7700,http://www.gongju.go.kr/prog/tursmCn/tour/sub02_01_04/view.do?cntno=14,공주시청,2003.12.05,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=3QFR9A&defaultCid=3QFR9A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
11,관광정보,3ezWwA,예산 황새공원,자연관광 > 자연공원 > 생태관광지,충청남도 예산군 광시면 시목대리길 62-19,"041-339-8365,8366",http://www.yesan.go.kr/stork.do,예산군청 문화관광과 황새팀,2019.01.09,2023.06.21,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=3ezWwA&defaultCid=3ezWwA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
12,관광정보,5WmWlA,경복궁,역사관광 > 역사유적지 > 고궁,서울특별시 종로구 사직로 161,경복궁 관리소 02-3700-3900,경복궁 http://www.royalpalace.go.kr 궁궐길라잡이 http://www.palaceguide.or.kr 한국의재발견 http://www.rekor.or.kr 야간관람 예매https://ticket.11st.co.kr/,경복궁 관리소,2003.12.30,2023.07.21,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=5WmWlA&defaultCid=5WmWlA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
13,관광정보,5WmWnA,덕수궁,역사관광 > 역사유적지 > 고궁,서울특별시 중구 세종대로 99,사무실 02-771-9951 안내실 02-751-0734 석조전 안내실 02-751-0753,http://www.deoksugung.go.kr,[사진] 관광정보지킴이 이슬비 님,2004.02.25,2023.06.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=5WmWnA&defaultCid=5WmWnA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
14,관광정보,5WmWxA,창경궁,역사관광 > 역사유적지 > 고궁,서울특별시 종로구 창경궁로 185,02-762-4868,http://cgg.cha.go.kr,창경궁관리소,2003.05.07,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=5WmWxA&defaultCid=5WmWxA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
15,관광정보,5m25bA,철원 한탄강 은하수교		,문화관광 > 랜드마크관광 > 다리 / 대교,강원특별자치도 철원군 동송읍 장흥리 725-12,033-450-5532,https://www.cwg.go.kr/tour/index.do,용인시 관광과 박혜경님 l 강원도관광재단 (https://dangdangmap.net/pet),2020.10.29,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=5m25bA&defaultCid=5m25bA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
16,관광정보,62El8A,원주 소금산 출렁다리,문화관광 > 랜드마크관광 > 다리 / 대교,강원특별자치도 원주시 지정면 소금산길 12,033-731-4088,https://www.wonju.go.kr/tour/index.do,"[글/사진] 원주시 관광과 관광개발 (김승렬, 김성제)",2018.01.16,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=62El8A&defaultCid=62El8A&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
17,관광정보,6Vp0wA,수원 화성 [유네스코 세계문화유산],역사관광 > 역사유적지 > 성ㆍ산성ㆍ성곽,경기도 수원시 장안구 수성로 320,031-290-3600,http://www.swcf.or.kr,수원시청,2004.02.09,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=6Vp0wA&defaultCid=6Vp0wA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
18,관광정보,73QR9A,해인사(합천),역사관광 > 종교성지 > 불교,경상남도 합천군 가야면 해인사길 122,해인사(합천) 055-934-3000 매표소 055-934-3140,해인사 http://www.haeinsa.or.kr ☞ 템플스테이 보러가기,[사진] 한국불교문화사업단 템플스테이팀,2003.11.13,2023.05.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=73QR9A&defaultCid=73QR9A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
19,관광정보,7dXf4A,울릉도,자연관광 > 자연경관(하천‧해양) > 섬,경상북도 울릉군 서면 태하길 236,도동 관광안내소 054-790-6454 저동 관광안내소 054-791-6629 사동 관광안내소 054-791-9163,울릉군 문화관광 http://www.ulleung.go.kr/tour,울릉군청 문화관광과 관광진흥팀,2004.02.10,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=7dXf4A&defaultCid=7dXf4A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
20,관광정보,7dXfKA,독도,자연관광 > 자연경관(하천‧해양) > 섬,경상북도 울릉군 울릉읍 독도이사부길 55,독도관리사무소 054-790-6644,외교부 독도 http://dokdo.mofa.go.kr K-독도 http://www.dokdo.go.kr,울릉군청,2004.02.10,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=7dXfKA&defaultCid=7dXfKA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
21,관광정보,7qGzRA,[제주올레 8코스] 월평-대평 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 월평동 741-3,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.08.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=7qGzRA&defaultCid=7qGzRA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
22,관광정보,7qGzZA,[제주올레 9코스] 대평-화순 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 안덕면 감산리 982-3,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.06.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=7qGzZA&defaultCid=7qGzZA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
23,관광정보,8YlUkA,부산 감천문화마을,문화관광 > 도시.지역문화관광 > 마을관광지,부산광역시 사하구 감내2로 203,051-204-1444,http://www.gamcheon.or.kr,부산광역시 사하구청,2015.04.14,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=8YlUkA&defaultCid=8YlUkA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
24,관광정보,92rWzA,장태산자연휴양림,자연관광 > 자연공원 > 자연휴양림,대전광역시 서구 장안로 461,042-270-7883,https://www.jangtaesan.or.kr:454/index.asp,장태산자연휴양림,2007.09.06,2023.04.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=92rWzA&defaultCid=92rWzA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
25,관광정보,9AZVIA,한라산 (제주도 국가지질공원),"자연관광 > 자연경관(산) > 산, 고개, 오름, 봉우리",제주특별자치도 제주시 1100로 2070-61,제주도 국가지질공원 064-710-3945,http://www.jeju.go.kr/hallasan,한라산국립공원 관리사무소,2003.09.29,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=9AZVIA&defaultCid=9AZVIA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
26,관광정보,9R9W0A,반월도·박지도,자연관광 > 자연경관(하천‧해양) > 섬,전라남도 신안군 안좌면,061-271-1004,http://tour.shinan.go.kr/ http://반월박지도.com,신안군청,2008.06.20,2023.03.20,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=9R9W0A&defaultCid=9R9W0A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
27,관광정보,AacESA,독일마을,역사관광 > 역사유적지 > 민속마을,경상남도 남해군 삼동면 독일로 92,055-867-8897,http://남해독일마을.com,[사진] 한국문화관광연구원,2007.03.26,2023.09.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=AacESA&defaultCid=AacESA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
28,관광정보,BbR43A,동대문디자인플라자(DDP),체험관광 > 산업관광 > 기타산업관광지,서울특별시 중구 을지로 281,02-2153-0000,http://www.ddp.or.kr,관광콘텐츠팀,2016.12.28,2023.09.01,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=BbR43A&defaultCid=BbR43A&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
29,관광정보,C63XUA,팔공산자연공원(동화사지구),자연관광 > 자연공원 > 자연휴양림,대구광역시 동구 동화사1길 1,053-803-7090 (공원관리소),https://www.daegu.go.kr,팔공산자연공원관리사무소 이강식 님,2003.06.23,2023.09.11,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=C63XUA&defaultCid=C63XUA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
30,관광정보,CtZHPA,[제주올레 14-1코스] 저지-서광 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 한경면 저지리 1851-5,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.30,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=CtZHPA&defaultCid=CtZHPA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
31,관광정보,CtZHfA,[제주올레 10-1코스] 가파도 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 대정읍 가파로 243,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.30,2023.03.21,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=CtZHfA&defaultCid=CtZHfA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
32,관광정보,CuQOXA,서동공원과 궁남지,자연관광 > 자연경관(하천‧해양) > 연못·늪,충청남도 부여군 부여읍 궁남로 52,충남종합관광안내소 041-830-2880,http://tour.buyeo.go.kr,부여군청,2003.11.11,2023.06.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=CuQOXA&defaultCid=CuQOXA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
33,관광정보,D0xH5A,홍대,체험관광 > 기타체험 > 기타체험관광,서울특별시 마포구 홍익로 20,마포관광정보센터 02-334-7878,https://www.mapo.go.kr/site/culture/content/culture010204,,2009.08.20,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=D0xH5A&defaultCid=D0xH5A&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
34,관광정보,D7TdiA,만천하 스카이워크,문화관광 > 랜드마크관광 > 타워 / 전망대,충청북도 단양군 적성면 옷바위길 10,만천하스카이워크 043-421-0014~5 단양관광공사 만천하팀 043-421-7885,https://www.dytc.or.kr/mancheonha/89,,2017.12.06,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=D7TdiA&defaultCid=D7TdiA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
35,관광정보,D8UDOA,[제주올레 18코스] 제주원도심-조천 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 일도1동 1146-8,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.29,2023.06.12,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=D8UDOA&defaultCid=D8UDOA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
36,관광정보,DUDu9A,마이산도립공원,자연관광 > 자연공원 > 도립공원,전라북도 진안군 진안읍 마이산로 130,063-430-8751~3,https://www.jinan.go.kr/maisan/index.jinan,진안군청,2003.09.22,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=DUDu9A&defaultCid=DUDu9A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
37,관광정보,DUDurA,내장산국립공원,자연관광 > 자연공원 > 국립공원,전라북도 정읍시 내장호반로 328,063-538-7875~7,http://naejang.knps.or.kr,* 정읍시청 * 국립공원관리공단내장산사무소 * 국립공원관리공단내장산백암사무소,2004.02.13,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=DUDurA&defaultCid=DUDurA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
38,관광정보,DeHpwA,에버랜드,문화관광 > 테마공원 > 테마파크,경기도 용인시 처인구 포곡읍 에버랜드로 199,031-320-5000,http://www.everland.com,[글/사진] 마케팅그룹 커뮤니케이션파트/에버랜드리조트 류두수프로,2003.08.27,2023.06.28,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=DeHpwA&defaultCid=DeHpwA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
