,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
0,강원특별자치도,춘천시,KT&G 상상마당 춘천아트센터,내국인,131327,131327,2686.0,4089.0,3950.0,11125.0,20844.0,20383.0,11389.0,10312.0,17113.0,10442.0,8023.0,10971.0
1,강원특별자치도,춘천시,강아지숲테마파크,내국인,22769,22769,1005.0,1035.0,1276.0,3183.0,3120.0,1267.0,1387.0,2104.0,2721.0,3233.0,1600.0,838.0
2,강원특별자치도,춘천시,강원도립화목원,내국인,278829,278829,2803.0,2738.0,5900.0,35904.0,67448.0,82792.0,7922.0,8732.0,11093.0,36821.0,13777.0,2899.0
3,강원특별자치도,춘천시,강원도청소년수련관,내국인,16456,16456,683.0,759.0,649.0,1293.0,1364.0,1594.0,1197.0,2102.0,1584.0,2126.0,1621.0,1484.0
4,강원특별자치도,춘천시,강원숲체험장,내국인,46588,46588,1798.0,2457.0,1278.0,2876.0,5179.0,4456.0,4342.0,5680.0,5027.0,5630.0,3846.0,4019.0
6,강원특별자치도,춘천시,구곡폭포,내국인,308373,308373,15481.0,13692.0,12255.0,19125.0,39377.0,31870.0,33050.0,33856.0,27833.0,46645.0,22174.0,13015.0
7,강원특별자치도,춘천시,국립용화산자연휴양림,내국인,70768,70768,2496.0,1928.0,1730.0,5925.0,8409.0,7864.0,10911.0,13254.0,7887.0,5253.0,3289.0,1822.0
8,강원특별자치도,춘천시,국립춘천박물관,내국인,203834,203834,10091.0,8941.0,8246.0,9451.0,29417.0,24549.0,27221.0,18737.0,11315.0,16404.0,19461.0,20001.0
9,강원특별자치도,춘천시,국립춘천숲체원,내국인,117120,117120,1439.0,2249.0,1861.0,4852.0,7780.0,5105.0,15757.0,15685.0,8895.0,36821.0,13777.0,2899.0
10,강원특별자치도,춘천시,김유정문학마을,내국인,29826,29826,2285.0,2450.0,2343.0,3656.0,6576.0,5329.0,4362.0,2825.0,0.0,0.0,0.0,0.0
11,강원특별자치도,춘천시,남이섬유원지,내국인,1355695,1355695,40130.0,46950.0,38233.0,165853.0,95012.0,91755.0,66091.0,67847.0,73059.0,149297.0,442565.0,78903.0
12,강원특별자치도,춘천시,남춘천CC-골프,내국인,79647,79647,1123.0,2756.0,7554.0,9277.0,9569.0,7164.0,8930.0,8157.0,8751.0,8405.0,6841.0,1120.0
